asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery
B09V5LDZQ4,"Samsung Galaxy S22 Smartphone, Factory Unlocked Android Cell Phone, 128GB, 8K Camera &amp; Video, Brightest Display, Long Battery Life, Fast 4nm Processor, US Version, Phantom Black (Renewed)",$269.90 ,$379.99 ,USD,4,780,https://www.amazon.com/dp/B09V5LDZQ4,https://m.media-amazon.com/images/I/61kfOWlQLsL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$269.90 ,FALSE,FALSE,FALSE,TRUE,500+ bought in past month,FREE delivery Mar 20 - 22 Only 6 left in stock - order soon.
B09598JR5G,"Samsung Galaxy A51 128GB 6.5&quot; 4G LTE Unlocked, Black (Renewed)",$134.00 ,$279.99 ,USD,3.6,253,https://www.amazon.com/dp/B09598JR5G,https://m.media-amazon.com/images/I/61tB+H2nk6L._AC_SX444_SY639_FMwebp_QL65_.jpg,,$134.00 ,FALSE,FALSE,TRUE,TRUE,100+ bought in past month,"FREE delivery Wed, Mar 20 Or fastest delivery Tue, Mar 19"
B0B4GL65YQ,"SAM SUNG Galaxy A32 5G Supported | Boost Carrier Locked | (Boost Mobile Phones) Packaging | 4GB, 64GB Black (New) | Android Smartphone | Best Affordable Smart Phone |, 6 x 4 x 2 (Renewed)",$119.00 ,,USD,4.1,36,https://www.amazon.com/dp/B0B4GL65YQ,https://m.media-amazon.com/images/I/51U8Mcfg13L._AC_SX410_SY591_FMwebp_QL65_.jpg,,$119.00 ,FALSE,FALSE,FALSE,TRUE,50+ bought in past month,FREE delivery Mar 20 - 22 Or fastest delivery Mar 19 - 20
B0CC34JZCB,Xiaomi Redmi 12 4G LTE (256GB + 8GB) Factory Global Unlocked 6.67&quot; 50mp Triple Camera (Tmobile Mint Tello Global) + Extra (w/Fast 51W Dual USB Car Charger) (Midnight Black + 51W Dual USB Car Charger),$154.99 ,$164.70 ,USD,4.6,1773,https://www.amazon.com/dp/B0CC34JZCB,https://m.media-amazon.com/images/I/61t99wqLeaL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$154.99 ,FALSE,FALSE,TRUE,FALSE,300+ bought in past month,"FREE delivery Wed, Mar 20 Or fastest delivery Sun, Mar 17"
B08Q8KMVYP,Samsung Galaxy A12 32GB A125U (T-Mobile/Sprint Unlocked) 6.5&quot; Display Quad Camera Long Lasting Battery Smartphone - Black,$130.00 ,,USD,4.1,1634,https://www.amazon.com/dp/B08Q8KMVYP,https://m.media-amazon.com/images/I/81A3nwwKt2S._AC_SX444_SY639_FMwebp_QL65_.jpg,,$130.00 ,FALSE,FALSE,TRUE,TRUE,50+ bought in past month,"FREE delivery Wed, Mar 20 Or fastest delivery Sun, Mar 17"
B08L9QQ6RZ,"Samsung Galaxy S20 FE 5G (128GB, 6GB) 6.5&quot; AMOLED, Snapdragon 865, IP68 Water Resistant, 5G Volte AT&amp;T Unlocked (T-Mobile, Verizon, Sprint, Metro) G781U (Cloud Navy)",$285.99 ,$319.72 ,USD,4,370,https://www.amazon.com/dp/B08L9QQ6RZ,https://m.media-amazon.com/images/I/61SvcVK-KmL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$285.99 ,FALSE,FALSE,FALSE,FALSE,200+ bought in past month,FREE deliveryOnly 2 left in stock - order soon.
B09V9Z1WLN,"Samsung Galaxy S22 Smartphone, Factory Unlocked Android Cell Phone, 128GB, 8K Camera &amp; Video, Brightest Display, Long Battery Life, Fast 4nm Processor, US Version, Pink Gold (Renewed)",$307.89 ,$599.97 ,USD,4.3,283,https://www.amazon.com/dp/B09V9Z1WLN,https://m.media-amazon.com/images/I/61jAwWf6GYL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$307.89 ,FALSE,FALSE,FALSE,FALSE,200+ bought in past month,"FREE delivery Fri, Mar 22 Or fastest delivery Tue, Mar 19 Only 3 left in stock - order soon."
B08PNP5YGV,"Apple iPhone 12 Pro, 128GB, Graphite - Fully Unlocked (Renewed)",$368.00 ,$521.01 ,USD,4.2,7823,https://www.amazon.com/dp/B08PNP5YGV,https://m.media-amazon.com/images/I/51bf95umgzL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$368.00 ,FALSE,FALSE,FALSE,TRUE,2K+ bought in past month,"FREE delivery Wed, Mar 20 Only 10 left in stock - order soon."
B09SM24S8C,"Samsung Galaxy A03s Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)",$80.48 ,$87.14 ,USD,3.9,271,https://www.amazon.com/dp/B09SM24S8C,https://m.media-amazon.com/images/I/51m45B3Yy+L._AC_SX444_SY639_FMwebp_QL65_.jpg,,$80.48 ,FALSE,FALSE,FALSE,TRUE,500+ bought in past month,"FREE delivery Wed, Mar 20 Only 3 left in stock - order soon."
B0BYTBFFGS,"SAMSUNG Galaxy A14 (128GB, 4GB) 6.6&quot;, Android 13, 5000mAh Battery, 50MP Triple Camera, Dual SIM 4G Volte GSM Unlocked International Model A145M/DS (w/ 256GB SD, Black)",$169.99 ,,USD,4,108,https://www.amazon.com/dp/B0BYTBFFGS,https://m.media-amazon.com/images/I/61wVZDGGCQL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$169.99 ,FALSE,FALSE,TRUE,FALSE,100+ bought in past month,"FREE delivery Wed, Mar 20"
B0BTZ9XHG9,"Samsung Galaxy A14 (SM-A145P/DS) Dual SIM,64GB + 4GB, Factory Unlocked GSM, International Version (Fast Car Charger Bundle) - No Warranty - (Silver)",$144.00 ,,USD,3.9,273,https://www.amazon.com/dp/B0BTZ9XHG9,https://m.media-amazon.com/images/I/81B66GxivHL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$144.00 ,FALSE,FALSE,TRUE,FALSE,200+ bought in past month,"FREE delivery Wed, Mar 20 Or fastest delivery Sun, Mar 17"
B0BPN14LQG,Samsung Galaxy A23 5G SM-A236U Factory Unlocked 64GB Black Excellent,$129.99 ,$159.00 ,USD,4,161,https://www.amazon.com/dp/B0BPN14LQG,https://m.media-amazon.com/images/I/611g3QkCRdL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$129.99 ,FALSE,FALSE,FALSE,TRUE,400+ bought in past month,"FREE delivery Wed, Mar 20 Only 1 left in stock - order soon."
B09MDMXT52,"Samsung Galaxy S21 5G Verizon + GSM Unlocked 128GB, Phantom Gray (Renewed)",$217.75 ,$238.00 ,USD,3.9,81,https://www.amazon.com/dp/B09MDMXT52,https://m.media-amazon.com/images/I/61jYjeuNUnL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$217.75 ,FALSE,FALSE,FALSE,TRUE,100+ bought in past month,"FREE delivery Wed, Mar 20 Only 7 left in stock - order soon."
B0CTD47P22,"SAMSUNG Galaxy A15 5G (SM-156M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Light Blue)",$188.95 ,,USD,,0,https://www.amazon.com/dp/B0CTD47P22,https://m.media-amazon.com/images/I/51QhB2CfqSL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$188.95 ,FALSE,FALSE,TRUE,FALSE,,"FREE delivery Wed, Mar 20 Or fastest delivery Mon, Mar 18 Only 4 left in stock - order soon."
B082QPSB79,"Samsung Galaxy A50 US Version Factory Unlocked Cell Phone with 64GB Memory, 6.4&quot; Screen, Black, [SM-A505UZKNXAA] (Renewed)",$109.89 ,,USD,3.8,1709,https://www.amazon.com/dp/B082QPSB79,https://m.media-amazon.com/images/I/71en3ZM0i-L._AC_SX444_SY639_FMwebp_QL65_.jpg,,$109.89 ,FALSE,FALSE,TRUE,TRUE,200+ bought in past month,"FREE delivery Wed, Mar 20 Or fastest delivery Sun, Mar 17 Only 5 left in stock - order soon."
B0858974Q2,Samsung Galaxy A10e GSM Unlocked (not CDMA) 32GB Smartphone - Black (Renewed),$77.30 ,$82.12 ,USD,4,671,https://www.amazon.com/dp/B0858974Q2,https://m.media-amazon.com/images/I/71FBIbE9WtL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$77.30 ,FALSE,FALSE,FALSE,TRUE,50+ bought in past month,"FREE delivery Wed, Mar 20 Only 10 left in stock - order soon."
B08HL64JS8,Samsung Galaxy Note 20 Ultra 128GB Unlocked Android Smartphone - Mystic Black (Renewed),$370.50 ,$439.99 ,USD,4.1,3770,https://www.amazon.com/dp/B08HL64JS8,https://m.media-amazon.com/images/I/51UG-WVTAOL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$370.50 ,FALSE,FALSE,FALSE,TRUE,500+ bought in past month,FREE delivery Mar 20 - 21 Only 6 left in stock - order soon.
B0C3JX1BPT,SAMSUNG Galaxy A54 5G + 4G LTE (128GB + 8GB) Unlocked Dual Sim (Only T-Mobile/Mint/Metro USA Market) 1 Year Latin America 6.4&quot; 120Hz 50MP Triple Cam (Awesome Graphite SM-A546E/DS),$303.00 ,,USD,4.2,94,https://www.amazon.com/dp/B0C3JX1BPT,https://m.media-amazon.com/images/I/618GdXB6JlL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$303.00 ,FALSE,FALSE,TRUE,FALSE,100+ bought in past month,"FREE delivery Wed, Mar 20 Or fastest delivery Sun, Mar 17"
